Date,Open,High,Low,Close,Adj Close,Volume,Day
3/18/2015,190.169998,193.759995,189.490005,193,163.605057,2287400,263
3/19/2015,192.559998,192.850006,191.75,192.110001,162.850616,1372000,264
3/20/2015,193.190002,194.389999,193.130005,193.850006,164.325623,1350100,265
3/23/2015,192.850006,193.490005,192.490005,192.520004,164.030777,707100,266
3/24/2015,192.380005,192.850006,191.330002,191.399994,163.076553,1587700,267
3/25/2015,191.639999,191.869995,188.570007,188.610001,160.699387,1216700,268
3/26/2015,187.880005,189.149994,187.149994,188.139999,160.298965,1906200,269
3/27/2015,188.039993,188.779999,187.830002,188.529999,160.631241,1837000,270
3/30/2015,189.75,191.190002,189.720001,190.880005,162.633514,1414700,271
3/31/2015,189.979996,191.779999,189.169998,189.199997,161.202133,2765200,272
4/1/2015,189.169998,189.169998,187.470001,188.589996,160.682373,3379900,273
4/2/2015,188.470001,189.690002,188.270004,189.149994,161.1595,1803500,274
4/6/2015,188.229996,191.039993,188.089996,190.479996,162.292709,1242500,275
4/7/2015,190.479996,191.330002,189.970001,189.970001,161.858185,1372300,276
4/8/2015,190.240005,191.059998,189.809998,190.660004,162.446091,1412100,277
4/9/2015,190.449997,191.710007,189.960007,191.490005,163.153275,794800,278
4/10/2015,191.740005,192.570007,191.539993,192.539993,164.047882,1056900,279
4/13/2015,192.360001,193.039993,191.600006,191.669998,163.306625,1227800,280
4/14/2015,191.419998,192.220001,190.770004,192.020004,163.604797,2647800,281
4/15/2015,192.539993,193.419998,192.449997,192.899994,164.354584,934900,282
4/16/2015,192.550003,193.369995,192.300003,192.830002,164.294968,823300,283
4/17/2015,191.529999,191.770004,189.75,190.589996,162.386429,2059300,284
4/20/2015,191.669998,192.699997,191.550003,192.330002,163.868958,1430300,285
4/21/2015,193.110001,193.259995,191.800003,192.139999,163.707062,1089500,286
4/22/2015,192.490005,193.279999,191.5,193.089996,164.516418,1125400,287
4/23/2015,192.649994,194.259995,192.5,193.589996,164.942474,956400,288
4/24/2015,194.020004,194.289993,193.520004,193.979996,165.274811,978300,289
